%time(s) 	 x-pos 	 y-pos 
4.78000000e+00	6.60388264e-01	3.84857635e-01
4.79000000e+00	6.69388860e-01	3.69852163e-01
4.80000000e+00	6.78011755e-01	3.54618255e-01
4.81000000e+00	6.86250060e-01	3.39165871e-01
4.82000000e+00	6.94097236e-01	3.23505242e-01
4.83000000e+00	7.01547112e-01	3.07646866e-01
4.84000000e+00	7.08593896e-01	2.91601477e-01
4.85000000e+00	7.15232189e-01	2.75380034e-01
4.86000000e+00	7.21456994e-01	2.58993703e-01
4.87000000e+00	7.27263730e-01	2.42453833e-01
4.88000000e+00	7.32648239e-01	2.25771935e-01
4.89000000e+00	7.37606793e-01	2.08959659e-01
4.90000000e+00	7.42136103e-01	1.92028780e-01
4.91000000e+00	7.46233317e-01	1.74991167e-01
4.92000000e+00	7.49896032e-01	1.57858764e-01
4.93000000e+00	7.53122287e-01	1.40643569e-01
4.94000000e+00	7.55910571e-01	1.23357610e-01
4.95000000e+00	7.58259817e-01	1.06012923e-01
4.96000000e+00	7.60169397e-01	8.86215283e-02
